,,,,,,,,0.05,,,,,3,5.30,0.74,0.61
,,,,4,1.30,0.19,0.51,0.07,,,,,4,5.10,0.76,0.50
,,,,6,1.27,0.27,0.47,0.10,6,2.66,0.50,0.41,6,5.32,1.12,0.46
,,,,,,,,0.13,8,2.65,0.66,0.38,8,5.21,1.18,0.32
10,0.60,0.20,0.41,10,1.07,0.30,0.30,0.16,10,2.60,0.86,0.41,10,4.77,1.40,0.33
12,0.62,0.25,0.40,12,,,,0.19,12,2.97,1.18,0.39,12,4.89,1.62,0.27
14,0.59,0.26,0.35,14,1.17,0.55,0.39,0.22,,,,,14,5.88,2.32,0.27
16,0.65,0.28,0.21,,,,,0.25,,,,,16,5.10,2.19,0.22
,,,,,,,,0.28,18,3.47,1.69,0.21,18,5.65,2.72,0.20
20,0.56,0.37,0.33,20,0.96,0.60,0.29,0.31,,,,,20,5.08,2.91,0.23
30,0.66,0.67,0.25,30,0.84,1.05,0.39,0.43,,,,,30,4.86,5.04,0.27
40,0.61,0.96,0.25,40,0.86,1.41,0.29,0.54,40,3.34,5.25,0.25,40,4.13,6.26,0.22
50,0.56,1.22,0.19,50,0.96,2.35,0.28,0.64,50,3.27,7.37,0.22,50,4.71,10.75,0.23
